candidateId,decoderId,foldId,capture,rootAccuracy,majorMinorAccuracy,detailedAccuracy,fragmentationRate,regionsPerMinute,predictedRegionCount,meanAbsoluteBoundaryErrorMs,medianAbsoluteBoundaryErrorMs,meanSignedBoundaryErrorMs,boundariesWithin100ms,boundariesWithin250ms,boundariesWithin500ms,boundariesWithin1000ms,abaCount,flickerCount,stateSwitchPrecision,stateSwitchRecall,stateSwitchF1
precision-boundary-loss,segmental-full,lopo-p05,audio_mono-mic,0.8050,0.7653,0.7558,0.6542,20.875,636,489.6,298.2,-119.4,0.4318,0.6803,0.7773,0.8349,65,2,0.7795,0.6803,0.7265
precision-boundary-loss,segmental-full,lopo-p05,audio_mono-pickup_mix,0.8156,0.7765,0.7688,0.6472,20.743,632,539.7,319.2,-8.8,0.4152,0.6652,0.7773,0.8364,57,1,0.7675,0.6652,0.7127
agreement-coupled,full-v2-existing,lopo-p01,audio_mono-mic,0.8044,0.7612,0.7536,0.6694,21.859,666,399.7,260.5,24.1,0.4515,0.6833,0.7985,0.8712,80,1,0.7442,0.6833,0.7125
agreement-coupled,full-v2-existing,lopo-p01,audio_mono-pickup_mix,0.8132,0.7702,0.7653,0.6611,21.728,662,426.5,297.9,-10.0,0.4667,0.7030,0.8182,0.8682,72,0,0.7708,0.7030,0.7353
agreement-coupled,full-v2-existing,lopo-p02,audio_mono-mic,0.7568,0.7187,0.7119,0.6778,22.581,688,449.7,280.1,29.8,0.4591,0.6682,0.7970,0.8682,82,1,0.7022,0.6682,0.6848
agreement-coupled,full-v2-existing,lopo-p02,audio_mono-pickup_mix,0.7504,0.7118,0.7059,0.6889,22.844,696,447.8,309.1,5.6,0.4561,0.6667,0.8000,0.8743,83,0,0.6918,0.6667,0.6790
agreement-coupled,full-v2-existing,lopo-p03,audio_mono-mic,0.8491,0.8058,0.8002,0.7139,23.139,705,234.8,133.1,33.2,0.5576,0.7985,0.8939,0.9379,74,1,0.8171,0.7985,0.8077
agreement-coupled,full-v2-existing,lopo-p03,audio_mono-pickup_mix,0.8285,0.7844,0.7764,0.7139,23.270,709,284.1,176.4,88.9,0.5576,0.7833,0.8848,0.9333,78,2,0.7966,0.7833,0.7899
agreement-coupled,full-v2-existing,lopo-p04,audio_mono-mic,0.7801,0.7384,0.7327,0.6847,22.942,699,337.8,205.8,-4.6,0.4955,0.7030,0.8303,0.8879,75,3,0.7261,0.7030,0.7144
agreement-coupled,full-v2-existing,lopo-p04,audio_mono-pickup_mix,0.7792,0.7367,0.7306,0.6542,22.122,674,384.1,238.0,-6.3,0.4682,0.7015,0.8106,0.8712,85,2,0.7541,0.7015,0.7268
agreement-coupled,full-v2-existing,lopo-p05,audio_mono-mic,0.8366,0.7970,0.7950,0.6806,22.450,684,325.5,191.6,-5.8,0.5197,0.7333,0.8530,0.8894,64,0,0.7756,0.7333,0.7539
agreement-coupled,full-v2-existing,lopo-p05,audio_mono-pickup_mix,0.8372,0.7959,0.7945,0.6861,22.680,691,323.7,184.9,18.8,0.5136,0.7258,0.8500,0.8985,71,1,0.7591,0.7258,0.7421
agreement-coupled,segmental-full,lopo-p01,audio_mono-mic,0.8118,0.7679,0.7611,0.6375,20.973,639,444.5,288.8,30.6,0.5303,0.7485,0.8000,0.8379,80,1,0.8532,0.7485,0.7974
agreement-coupled,segmental-full,lopo-p01,audio_mono-pickup_mix,0.8174,0.7765,0.7717,0.6528,21.170,645,403.2,251.9,20.4,0.5500,0.7621,0.8197,0.8576,76,1,0.8598,0.7621,0.8080
agreement-coupled,segmental-full,lopo-p02,audio_mono-mic,0.7551,0.7171,0.7121,0.6472,21.236,647,488.6,296.4,-69.4,0.5106,0.7061,0.7788,0.8288,82,0,0.7939,0.7061,0.7474
agreement-coupled,segmental-full,lopo-p02,audio_mono-pickup_mix,0.7508,0.7157,0.7093,0.6597,21.236,647,489.9,295.5,0.7,0.4970,0.7015,0.7758,0.8318,82,1,0.7888,0.7015,0.7426
agreement-coupled,segmental-full,lopo-p03,audio_mono-mic,0.8494,0.8044,0.8001,0.6903,22.253,678,264.8,146.7,42.3,0.6091,0.8424,0.8818,0.9121,74,1,0.8997,0.8424,0.8701
agreement-coupled,segmental-full,lopo-p03,audio_mono-pickup_mix,0.8278,0.7867,0.7812,0.6958,22.319,680,313.9,190.8,98.0,0.6030,0.8288,0.8727,0.9045,75,2,0.8823,0.8288,0.8547
agreement-coupled,segmental-full,lopo-p04,audio_mono-mic,0.7860,0.7464,0.7418,0.6764,21.695,661,370.7,209.6,17.7,0.5333,0.7455,0.8242,0.8682,82,1,0.8186,0.7455,0.7803
agreement-coupled,segmental-full,lopo-p04,audio_mono-pickup_mix,0.7856,0.7446,0.7391,0.6514,21.104,643,399.5,249.3,-30.5,0.5106,0.7227,0.8015,0.8530,81,1,0.8182,0.7227,0.7675
agreement-coupled,segmental-full,lopo-p05,audio_mono-mic,0.8426,0.8029,0.8029,0.6625,21.597,658,338.1,210.0,-31.5,0.5742,0.7849,0.8530,0.8727,68,0,0.8662,0.7848,0.8235
agreement-coupled,segmental-full,lopo-p05,audio_mono-pickup_mix,0.8456,0.8050,0.8034,0.6597,21.465,654,374.0,249.4,-13.0,0.5667,0.7803,0.8394,0.8712,73,1,0.8670,0.7803,0.8214
