foldId,candidateId,capture,rootAccuracy,majorMinorAccuracy,detailedAccuracy,fragmentationRate,regionsPerMinute,predictedRegionCount,shortRegionRate,flickerCount,meanAbsoluteBoundaryErrorMs,medianAbsoluteBoundaryErrorMs,boundaryF1At100ms,boundaryF1At250ms,boundaryF1At500ms,boundaryF1At1000ms,weightedChordSymbolRecall,noChordF1,meanSignedBoundaryErrorMs,boundariesWithin100ms,boundariesWithin250ms,boundariesWithin500ms,boundariesWithin1000ms,chordSwitchPrecision,chordSwitchRecall,chordSwitchF1,boundaryStateSwitchAgreement,trainSeconds,epochsRun,checkpointChecksum
lopo-p02,full-objective-unsmoothed,audio_mono-mic,0.6558420518734006,0.5939706290144885,0.574337589397757,0.6930566666666667,24.058212340254673,733.0,0.013642564802182811,3.0,531.5434848484849,397.82181818181823,0.2854531818181818,0.5091077272727272,0.6926777272727273,0.806599393939394,0.574337589397757,0.0,-10.325909090909091,0.2909112121212121,0.5196962121212121,0.7030304545454545,0.8136415151515151,0.5096591381872214,0.5196962121212121,0.514628740229496,0.7888768929691936,1289.22,31,8d3d70c0ec754cb9e1a6f52b4593771f189824fea06d6b8ceec9922912922b58
lopo-p02,full-objective-unsmoothed,audio_mono-pickup_mix,0.6512981473316608,0.5918962832851767,0.5680070520976813,0.7180541666666667,24.091033912342333,734.0,0.01226158038147139,3.0,518.6309090909091,393.59636363636366,0.2948459090909091,0.5071728787878788,0.7079278787878788,0.8157166666666668,0.5680070520976813,0.0,-47.06530303030303,0.2984866666666666,0.5121215151515152,0.7121259090909091,0.8196969696969697,0.501479525222552,0.5121215151515152,0.5067446540497975,0.7921653348886802,1289.22,31,8d3d70c0ec754cb9e1a6f52b4593771f189824fea06d6b8ceec9922912922b58
lopo-p02,full-v2,audio_mono-mic,0.7755019049640439,0.7319819790970349,0.72547435634162,0.6791663888888889,22.810992600923598,695.0,0.0028776978417266188,0.0,330.1454545454545,169.72545454545454,0.49902939393939394,0.7215766666666666,0.8537254545454546,0.9084786363636365,0.72547435634162,0.0,-12.979090909090907,0.4909039393939394,0.7090925757575758,0.8378831818181818,0.8924248484848485,0.7370105511811024,0.7090925757575758,0.7227820759973776,0.8833528128915572,6208.25,31,423154a36835baf3deace3611703b8b2335df471c68721336afc20c36a5c2cad
lopo-p02,full-v2,audio_mono-pickup_mix,0.7451422220532519,0.7073654342895715,0.697845976786396,0.6708324999999999,22.61406316839764,689.0,0.001451378809869376,1.0,403.32469696969696,231.84484848484848,0.45174424242424244,0.6896819696969697,0.8190169696969697,0.8979736363636364,0.697845976786396,0.0,53.6860606060606,0.44394060606060604,0.6757510606060606,0.8030342424242425,0.8787907575757575,0.7090569157392687,0.6757510606060606,0.6920034705539396,0.880473372431407,6208.25,31,423154a36835baf3deace3611703b8b2335df471c68721336afc20c36a5c2cad
lopo-p03,v1-objective,audio_mono-mic,0.6334024943300733,0.5822989785926767,0.5551107935380889,0.6486133333333334,20.48066098269975,624.0,0.0,0.0,860.2993939393939,665.6116666666667,0.20932272727272727,0.45073575757575757,0.6375695454545455,0.7687180303030303,0.5551107935380889,0.0,-255.76333333333332,0.20150575757575756,0.42727545454545457,0.6030301515151516,0.724245303030303,0.4999994680851064,0.42727545454545457,0.4607856737729668,0.8536793023185861,710.41,25,e617d9ee437cc8f1f97afba27bdfa94d7cec0a8a5d84e2a70d5c08318d008f90
lopo-p03,v1-objective,audio_mono-pickup_mix,0.6421786111661175,0.5853010353017889,0.5637079424375269,0.6625044444444445,21.071449280277626,642.0,0.0,0.0,786.5977272727273,605.1501515151515,0.20741060606060605,0.4372357575757576,0.6379337878787879,0.788049393939394,0.5637079424375269,0.0,-198.1860606060606,0.19999393939393942,0.41818090909090905,0.6090918181818182,0.7500024242424242,0.4742242268041237,0.41818090909090905,0.4444427991306582,0.843501851345,710.41,25,e617d9ee437cc8f1f97afba27bdfa94d7cec0a8a5d84e2a70d5c08318d008f90
lopo-p03,longer-context,audio_mono-mic,0.7567329446529829,0.7086699190838843,0.7043040122730798,0.7027716666666666,23.959747623991692,730.0,0.00684931506849315,4.0,406.9725757575758,281.0207575757576,0.38767803030303033,0.6047206060606061,0.7728363636363637,0.8765748484848485,0.7043040122730798,0.0,-116.36742424242425,0.3939404545454545,0.6106072727272727,0.7787913636363636,0.8818215151515152,0.601489552238806,0.6106072727272727,0.6060141195019864,0.7828402135977993,1652.8,40,8b4649c12a49d6f1fd86acb2060ca6b39e0557b20ff17e3667c5a9eec55b6d53
lopo-p03,longer-context,audio_mono-pickup_mix,0.7624823598819735,0.7147761316604543,0.7107544644996405,0.6819408333333333,23.040743605537216,702.0,0.002849002849002849,1.0,419.2274242424242,312.62363636363636,0.3839598484848485,0.6250451515151515,0.7958428787878788,0.8784998484848484,0.7107544644996405,0.0,-65.6309090909091,0.381820303030303,0.6181801515151515,0.7863712121212121,0.8681833333333333,0.6355109034267913,0.6181801515151515,0.6267257392023071,0.7874222883500952,1652.8,40,8b4649c12a49d6f1fd86acb2060ca6b39e0557b20ff17e3667c5a9eec55b6d53
lopo-p03,duration-objective,audio_mono-mic,0.7207274309023853,0.6781408953506055,0.6700959225760995,0.7083311111111111,24.189498628605314,737.0,0.013568521031207599,3.0,416.2171212121212,302.38,0.3671722727272727,0.5694615151515152,0.7448303030303031,0.861765303030303,0.6700959225760995,0.0,-87.97272727272727,0.3712209090909091,0.5772766666666667,0.7530319696969697,0.8712125757575758,0.5627757754800591,0.5772766666666667,0.5699339990678515,0.7825271316264758,1627.42,40,8a16cdb72e781096811b988225b160f994da5d19ec3dc20adc84954481efe940
lopo-p03,duration-objective,audio_mono-pickup_mix,0.7424488054588838,0.6954519460457117,0.6847539714102225,0.7138863888888889,24.386428061131273,743.0,0.016150740242261104,2.0,383.1628787878788,254.89257575757577,0.3755842424242424,0.5992254545454545,0.7737057575757575,0.870799696969697,0.6847539714102225,0.0,-55.39757575757576,0.38030545454545456,0.6060627272727273,0.7818177272727272,0.8787940909090909,0.5856512445095168,0.6060627272727273,0.5956821836153839,0.7850175729024991,1627.42,40,8a16cdb72e781096811b988225b160f994da5d19ec3dc20adc84954481efe940
lopo-p03,boundary-switch-objective,audio_mono-mic,0.6530659411093472,0.5962387532507033,0.5813346832663591,0.68889,23.204851465975516,707.0,0.004243281471004243,0.0,489.13121212121206,363.4569696969697,0.31981530303030303,0.5304071212121212,0.7057830303030304,0.840655909090909,0.5813346832663591,0.0,-59.18954545454545,0.3166671212121212,0.524239696969697,0.6984899999999999,0.8287871212121213,0.5347721792890262,0.524239696969697,0.529453562331557,0.7877702086247079,1236.0,31,cad461eb38abf21163c31221d4bcc00ffcbd39e090937c0732d2017e7546d7a7
lopo-p03,boundary-switch-objective,audio_mono-pickup_mix,0.6663908422343613,0.6139990289737898,0.6001516706727219,0.7041602777777778,23.762818191465733,724.0,0.008287292817679558,3.0,522.2437878787879,386.135,0.2983783333333333,0.5338262121212122,0.7220274242424243,0.825105,0.6001516706727219,0.0,-55.02424242424242,0.29696545454545453,0.5333377272727273,0.7212112121212121,0.827275303030303,0.5301234939759036,0.5333377272727273,0.5317257532324896,0.7939476318573532,1236.0,31,cad461eb38abf21163c31221d4bcc00ffcbd39e090937c0732d2017e7546d7a7
lopo-p03,full-objective-unsmoothed,audio_mono-mic,0.7275239509952047,0.6802567528196465,0.6633039784121579,0.7138838888888889,24.35360648904361,742.0,0.01752021563342318,3.0,411.17045454545456,269.8110606060606,0.38898015151515153,0.608145,0.7733418181818181,0.865494393939394,0.6633039784121579,0.0,-59.56348484848485,0.39545,0.6151566666666667,0.7833353030303031,0.8727257575757577,0.595308651026393,0.6151566666666667,0.605069934760553,0.7940823156379547,1566.51,40,65132e3681b0b9f165ad6491f4e684b63f7a2faada3596d39188d64cae36e400
